pressure,density
0.167,0.8738
0.428,1.2747
0.473,1.2326
0.508,1.6505
0.811,1.4716
0.829,1.2931
1.064,2.025
1.099,1.7544
1.272,1.2677
1.314,1.8615
1.498,2.2077
1.506,2.215
1.526,2.0922
1.72,2.448
1.733,2.4916
1.745,2.3138
1.797,2.2514
1.802,2.1492
2.158,2.55
2.21,2.1449
2.279,2.4831
2.455,2.0598
2.913,2.5371
2.958,2.6667
3.017,2.5129
3.147,2.5813
3.352,2.7877
3.523,2.4074
4.061,2.2866
4.132,2.824
4.176,6.4622
4.386,2.563
4.518,2.65
4.53,2.6
4.545,2.7685
4.784,2.6086
5.033,2.5155
5.15,2.5095
5.179,2.8886
5.524,2.4909
6.142,2.82
6.516,3.0039
6.686,3.0336
6.727,0.975
7,2.8
7.147,3.0387
7.379,1.83
7.799,2.9414
7.799,2.9414
8.034,2.6542
8.085,2.2576
8.22,2.7808
8.34,2.9333
9.027,2.3559
9.064,3.1369
9.665,3.1054
9.909,3.0208
9.955,2.5856
10.152,2.555
10.172,2.14
10.176,3.0516
10.302,3.083
10.496,3.3056
10.723,2.6447
11.201,2.7711
11.272,2.7353
11.81,3.1026
11.87,3.079
11.87,3.079
11.871,3.3445
11.969,2.973
11.996,2.7264
12.914,3.1911
13.06,2.2898
13.179,3.6873
13.232,3.2866
14.434,2.7404
14.459,2.7216
14.7,3.3515
14.989,3.4052
15.432,3.6045
15.486,2.5346
16.348,3.6769
16.47,3.4954
16.477,3.128
16.507,2.8432
16.591,2.9931
17.225,3.5402
17.325,4.0664
17.371,3.1464
17.85,4.0203
17.85,4.0203
18.262,3.3092
18.295,3.5266
18.355,3.2134
18.881,3.3944
18.881,3.3944
19.063,3.0317
19.1,4.3295
19.266,3.7848
19.314,2.5058
19.381,3.8486
19.728,3.8024
19.907,3.2
20.051,3.9346
20.548,2.7621
20.691,2.65
20.694,3.4885
20.763,3.5172
21.948,4.0216
22.423,4.4395
22.81,3.7589
22.854,3.2052
23.151,3.62
23.533,3.0604
24.289,4.2191
24.629,4.2217
25.156,2.7536
25.377,4.3672
25.466,3.752
25.466,3.752
25.565,2.7572
27.103,3.9091
27.215,3.8773
27.6,3.45
27.853,4.1522
28.152,3.3198
28.181,3.2379
28.762,3.749
29.14,3.0147
29.793,2.7736
29.829,4.0662
30.906,3.6859
31.11,3.8197
31.237,4.1182
31.237,4.1182
31.583,3.6794
32.193,3.5373
34.534,3.2692
34.782,4.115
34.965,4.4121
35.274,4.0435
35.899,3.7011
37.259,4.5135
37.745,4.6077
37.941,4.5902
37.986,4.6415
38.179,4.4191
38.263,3.6047
38.399,4.5471
39.06,4.2457
39.701,4.3551
40.045,4.5165
40.104,4.0062
40.148,4.511
40.148,4.511
41.059,4.5407
41.52,4.6885
41.871,4.4308
43.59,3.8532
43.596,4.616
45.441,3.3886
45.931,4.3022
46.746,4.5714
47.2,4.6556
47.787,3.4944
47.889,4.2158
48.027,3.3573
49.469,4.6586
49.469,4.6586
53.707,4.4167
54.11,3.7906
54.156,4.6768
54.156,4.6768
55.215,3.4726
58.999,4.1404
59.555,4.698
59.555,4.698
63.228,5.0571
64.451,4.5837
65.193,4.4506
65.897,4.7598
65.897,4.7598
68.328,4.7206
68.329,4.5905
68.766,4.8763
69.577,4.829
69.73,4.7975
69.798,4.8628
70.248,4.837
86.317,4.6805
88.541,4.657
88.695,4.8783
88.714,4.8985
88.714,4.8985
100.69,3.9561
101.488,5.0367
101.488,5.0367
115.425,3.9462
134.097,4.6499
142.592,4.6491
159.576,4.9547
164.956,5.0803
197.324,5.4779
197.324,5.4779
198.489,5.4071
232.26,4.6248
255.524,5.5361
265.975,5.7942
340.133,5.8855
353.09,6.1726
359.186,6.1633
530.885,6.4603
544.142,6.4689
548.956,6.7927
630.817,6.6233
652.988,6.9918
1815.482,5.5379
1963.253,8.2891
2021.86,6.5284